序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
218,600036,招商银行,不良双降；息差表现超预期,,国金证券,3,,,,,,,银行Ⅱ,2017-05-08,https://pdf.dfcfw.com/pdf/H3_AP201705080563626852_1.pdf
219,600036,招商银行,一季报点评：零售金融业务特色明显，资产状况有所改善,买入,群益证券,3,,,,,,,银行Ⅱ,2017-05-05,https://pdf.dfcfw.com/pdf/H3_AP201705050556130403_1.pdf
220,600036,招商银行,2017年一季报点评：净息差回升，资产质量改善,买入,东莞证券,3,,,,,,,银行Ⅱ,2017-05-02,https://pdf.dfcfw.com/pdf/H3_AP201705020547509167_1.pdf
221,600036,招商银行,2016年年报点评：零售业务独领风骚 “轻型银行”效果显现,增持,华融证券,3,,,,,,,银行Ⅱ,2017-03-30,https://pdf.dfcfw.com/pdf/H3_AP201703300452591472_1.pdf
222,600036,招商银行,招商银行2016年报业绩点评：零售助力业绩增长，资产质量风险可控,,民生证券,3,,,,,,,银行Ⅱ,2017-03-29,https://pdf.dfcfw.com/pdf/H3_AP201703290448842407_1.pdf
223,600036,招商银行,零售领先，不良率环比持平,买入,太平洋,3,,,,,,,银行Ⅱ,2017-03-29,https://pdf.dfcfw.com/pdf/H3_AP201703290447205972_1.pdf
224,600036,招商银行,2016年年报点评：亮点纷呈，维持推荐,买入,东莞证券,3,,,,,,,银行Ⅱ,2017-03-28,https://pdf.dfcfw.com/pdf/H3_AP201703280443991045_1.pdf
225,600036,招商银行,年报靓丽；资产质量明显改善,,国金证券,3,,,,,,,银行Ⅱ,2017-03-27,https://pdf.dfcfw.com/pdf/H3_AP201703270442027630_1.pdf
226,600036,招商银行,2016年招商银行业绩指引超预期,,中银国际,3,,,,,,,银行Ⅱ,2017-01-26,https://pdf.dfcfw.com/pdf/H3_AP201701260295891438_1.pdf
227,600036,招商银行,2016年快报点评：净利润增速平稳,增持,东吴证券,3,,,,,,,银行Ⅱ,2017-01-24,https://pdf.dfcfw.com/pdf/H3_AP201701240290346471_1.pdf
